1, 2023-08-01, 1
2, 2023-08-01, 0
3, 2023-08-01, 1
4, 2023-08-01, 0
5, 2023-08-01, 1
6, 2023-08-01, 0
7, 2023-08-01, 1
8, 2023-08-01, 0
9, 2023-08-01, 1
10, 2023-08-01, 0
1, 2023-08-02, 0
2, 2023-08-02, 1
3, 2023-08-02, 0
4, 2023-08-02, 1
5, 2023-08-02, 0
6, 2023-08-02, 1
7, 2023-08-02, 0
8, 2023-08-02, 1
9, 2023-08-02, 0
10, 2023-08-02, 1
1, 2023-08-03, 1
2, 2023-08-03, 0
3, 2023-08-03, 1
4, 2023-08-03, 0
5, 2023-08-03, 1
6, 2023-08-03, 0
7, 2023-08-03, 1
8, 2023-08-03, 0
9, 2023-08-03, 1
10, 2023-08-03, 0
1, 2023-08-04, 0
2, 2023-08-04, 1
3, 2023-08-04, 0
4, 2023-08-04, 1
5, 2023-08-04, 0
6, 2023-08-04, 1
7, 2023-08-04, 0
8, 2023-08-04, 1
9, 2023-08-04, 0
10, 2023-08-04, 1
1, 2023-08-05, 1
2, 2023-08-05, 0
3, 2023-08-05, 1
4, 2023-08-05, 0
5, 2023-08-05, 1
6, 2023-08-05, 0
7, 2023-08-05, 1
8, 2023-08-05, 0
9, 2023-08-05, 1
10, 2023-08-05, 0
1, 2023-08-06, 0
2, 2023-08-06, 1
3, 2023-08-06, 0
4, 2023-08-06, 1
5, 2023-08-06, 0
6, 2023-08-06, 1
7, 2023-08-06, 0
8, 2023-08-06, 1
9, 2023-08-06, 0
10, 2023-08-06, 1
1, 2023-08-07, 1
2, 2023-08-07, 0
3, 2023-08-07, 1
4, 2023-08-07, 0
5, 2023-08-07, 1
6, 2023-08-07, 0
7, 2023-08-07, 1
8, 2023-08-07, 0
9, 2023-08-07, 1
10, 2023-08-07, 0
1, 2023-08-08, 0
2, 2023-08-08, 1
3, 2023-08-08, 0
4, 2023-08-08, 1
5, 2023-08-08, 0
6, 2023-08-08, 1
7, 2023-08-08, 0
8, 2023-08-08, 1
9, 2023-08-08, 0
10, 2023-08-08, 1
1, 2023-08-09, 1
2, 2023-08-09, 0
3, 2023-08-09, 1
4, 2023-08-09, 0
5, 2023-08-09, 1
6, 2023-08-09, 0
7, 2023-08-09, 1
8, 2023-08-09, 0
9, 2023-08-09, 1
10, 2023-08-09, 0
1, 2023-08-10, 0
2, 2023-08-10, 1
3, 2023-08-10, 0
4, 2023-08-10, 1
5, 2023-08-10, 0
6, 2023-08-10, 1
7, 2023-08-10, 0
8, 2023-08-10, 1
9, 2023-08-10, 0
10, 2023-08-10, 1
1, 2023-08-11, 1
2, 2023-08-11, 0
3, 2023-08-11, 1
4, 2023-08-11, 0
5, 2023-08-11, 1
6, 2023-08-11, 0
7, 2023-08-11, 1
8, 2023-08-11, 0
9, 2023-08-11, 1
10, 2023-08-11, 0
1, 2023-08-12, 0
2, 2023-08-12, 1
3, 2023-08-12, 0
4, 2023-08-12, 1

